Run,Channel,Constant,Mean,Sigma
502,0,61.82577966772593,1248.8023131358862,901.65466770636
504,1,221.73665958078146,925.5540471365332,509.2452020770767
505,2,121.63682751215477,1084.0916717014375,794.9435305059884
505,3,139.73063523239384,1249.501669784839,925.2816845284065
518,12,133.760490614985,995.7505624999719,683.2192730076108
518,13,98.63639204115478,946.0322253948997,609.2319170346294
516,14,147.71368814432805,1131.9279112111976,652.0866283608685
515,15,123.38622499051942,1053.981423596856,764.6704579451667
507,16,12.110440807176941,1089.5692835262444,502.55269857121687
507,17,106.90240718730671,685.7865769082338,831.8212005084397
508,18,124.75300167655541,1225.4785676875188,557.7360067030268
508,19,113.86229981606765,1077.966683607222,554.3625966588598
519,28,74.71378439022695,978.8395227016498,567.9856153225284
521,29,55.0971034602834,1118.6783747029262,604.3241548967169
541,30,146.35034141314213,1034.7905711478609,554.1364664728818
540,31,127.1550634921599,932.0797717947868,564.9831611134425
509,32,43.99342405097814,1310.5183803649986,1170.9308787615607
510,33,319.14074739475825,761.7830838401719,459.8747350518835
511,34,92.5805501654647,996.0793123717444,702.5933848111777
533,44,116.30413269620445,1039.6070597051141,621.0286425358621
534,45,130.0706987736992,1022.5442944791004,632.4223075627816
535,46,194.10228146302606,932.8894736157171,581.9201804210902
536,47,158.29197223621915,888.1196511434711,555.7355182982457
512,48,292.8438284360452,671.2533191129996,473.588882673107
513,49,188.8039377808442,790.8821290574451,483.97504094590545
514,50,176.42737993828823,839.9651087740192,496.1317810190258
514,51,198.02543388541835,764.2368824295147,479.1851050731621
526,60,72.02209881782731,1056.816384261193,637.2731079993985
527,61,46.317660771903654,995.7685518821788,728.1633498938157
531,62,136.41789477892146,946.5206774224804,640.2653116778765
532,63,116.00610297307726,1002.9764677547075,559.4929603366006
632,5,61.39608496785155,341.77693917640465,734.2456661500364
669,4,376.60564620192287,142.6662167111408,768.6832302761368
634,6,106.03355348807399,602.2434711607524,545.884703096065
634,7,105.97358609885788,403.17293510429903,627.2135913912234
636,21,33.49520958561926,505.57495116183196,652.1675764461793
670,20,719.2568701060876,536.1876365231055,464.317174601459
638,22,58.16491227074194,418.6420628552239,659.7222439823901
638,23,35.171420878848245,285.3736648036196,809.6914405095052
640,37,18.85470566688102,559.6222092433959,738.246267250952
671,36,0.23906829026460483,668.7838092656818,576.9222573597167
642,38,112.95029888306638,219.867216396249,571.8418835546244
642,39,100.08615258340275,-1704.9566825215916,1549.4359479544858
652,53,14801.931423552602,-12810.82641671447,3800.907690228406
672,52,27.133830110577513,-1436.7668559248004,1011.5696482904756
654,54,259053.8168937181,-15866.065827868384,3982.1058776798927
654,55,65.13516683684529,-412.90553751692676,1086.4418520423776
657,8,354351.84427298704,-12796.144613895362,2690.506364086381
657,9,32279.46172465483,-18057.283457644815,4131.541669563803
658,10,5.026763893018248,711.6765350270803,807.707631146114
659,11,6.484779656628174,-3782.3726130923756,3463.1648355686284
660,26,6.568333613647855,807.3678425576783,649.2092677813451
661,27,4.900293664638122,913.7028623189607,806.383226736983
662,24,0.2095672307062679,1069.9996818129018,437.80963136563156
662,25,0.855594349617774,1277.8232665841904,396.6915184315578
663,42,61998.42021186506,-15105.163210895325,3687.1049041987058
664,43,12509.596505019032,-12329.112678259075,3400.764883087049
665,40,289136.90736070287,-12956.007634113374,2841.936674679725
665,41,53756.19082480909,-14454.653717507288,3336.6928557727315
666,58,375.6995444046718,-17075.61861102568,6080.853822846724
667,59,7.541843748932388,508.6377153089541,686.2858468386175
668,56,2307042.1830767468,-16041.274520512648,3104.9133597250284
668,57,83298.90045639368,-14849.280313190446,3352.8366850334514
