Run,Channel,Constant,Mean,Sigma
502,0,19.97577388888398,13942.054889870145,6211.631913584508
504,1,82.49639191454969,7057.344572680949,4376.722824842661
505,2,37.34849230443865,9517.525808065022,6898.108040488774
505,3,36.43222001381047,8350.090615945792,6989.69010962191
518,12,21.195815710559653,4536.0939480146435,6679.1447220732025
518,13,24.140803097595587,2404.7510030785184,6492.589752789409
516,14,35.68495473319698,9615.535451204003,5614.590890976992
515,15,43.72467646558377,7717.188300074958,5634.720993707823
507,16,3.5730292888086757,10233.604801684547,5093.313729583183
507,17,69298.6327410618,-107155.098275978,24794.84283022464
508,18,23.095433218778428,8006.786763178838,7139.045744448485
508,19,17.874713149506658,7918.387609119959,6937.005968496826
519,28,13.95391701397829,6766.454080598496,5234.15039229496
521,29,13.065847746807481,2920.8308471443142,6848.219345723255
541,30,39.50144379879719,6779.508784821863,4955.006995348317
540,31,34.78063764394248,7076.415614838296,4862.171887356474
509,32,20.367911203082834,15056.458331127678,6246.715850295743
510,33,69.05077370446955,7381.594419641945,3806.464253330099
511,34,18.960685602878495,9394.382831095207,6378.1860974204865
533,44,34.42961915209009,7525.683979653854,4941.248346715672
534,45,37.164889943659354,8063.199429565406,5443.613727168381
535,46,38.95484235588751,8416.449041075643,4843.454105038723
536,47,43.924475860316456,7900.737860332222,4676.1942115687925
512,48,114.97868173660942,6570.853834035501,3166.5852956415265
513,49,45.91170165896644,7979.4766843875395,4031.683532078259
514,50,33.3087422282485,8477.057898986655,4815.034800078992
514,51,61.94409717223727,6371.520223464132,3695.1349940390287
526,60,13.193839816034224,8383.97390621216,5345.282729655415
527,61,13.989900786605126,5583.455775847069,5731.904782727925
531,62,49.38508880918779,8039.873126359837,4580.239532745826
532,63,43.74703619563273,9636.414832543598,4904.433617300788
632,5,13.586947376946526,2574.3144492155043,3122.422981272594
669,4,97.20513716314997,5007.240104778009,6447.272071059003
634,6,23.025709581666295,4067.4224799649687,3525.765514907512
634,7,14.65878315833305,3285.674597207983,3960.281093110271
636,21,7.782501607193884,2957.479318664446,3480.732854600249
670,20,107.0058728072588,5965.754857838962,2996.095552884597
638,22,19.185964574732022,4129.850501614606,2514.2520734447176
638,23,10.995104974300485,2774.4863194649697,3628.4481534562206
640,37,4.9188143698049505,3037.7592563859075,4178.554203450444
671,36,0.07925418617969436,7937.325013912409,1132.7684954973408
642,38,14.46874853807396,3465.78886112666,2813.0545545140544
642,39,0.0,0.0,0.0
652,53,0.0,0.0,0.0
672,52,0.0,0.0,0.0
654,54,0.0,0.0,0.0
654,55,0.0,0.0,0.0
657,8,0.0,0.0,0.0
657,9,0.0,0.0,0.0
658,10,1.0617323564877523,3053.1775343891445,10197.184490840078
659,11,0.0,0.0,0.0
660,26,1.7961863739774164,8279.638714906921,4324.645304866137
661,27,1.3279761714236877,8100.644861873489,5842.405460506081
662,24,0.07676283790616387,12597.728490735075,2351.5221973610733
662,25,71.95438142862922,-48940.567372812875,16106.792350170928
663,42,0.0,0.0,0.0
664,43,0.0,0.0,0.0
665,40,0.0,0.0,0.0
665,41,0.0,0.0,0.0
666,58,0.0,0.0,0.0
667,59,1.8677183929722896,7479.2233720124,4038.9032220363024
668,56,0.0,0.0,0.0
668,57,0.0,0.0,0.0
